date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
12 novembre 2017 Saison régulière,San Antonio Spurs,133,94,Chicago Bulls,#5,#14
12 novembre 2017 Saison régulière,Phoenix Suns,118,110,Minnesota Timberwolves,#13,#3
12 novembre 2017 Saison régulière,Denver Nuggets,125,107,Orlando Magic,#5,#3
12 novembre 2017 Saison régulière,Utah Jazz,114,106,Brooklyn Nets,#10,#11
24 octobre 2017 Saison régulière,Miami Heat,104,93,Atlanta Hawks,#11,#6
24 octobre 2017 Saison régulière,Milwaukee Bucks,103,94,Charlotte Hornets,#5,#11
24 octobre 2017 Saison régulière,Houston Rockets,90,98,Memphis Grizzlies,#1,#6
24 octobre 2017 Saison régulière,Dallas Mavericks,103,133,Golden State Warriors,#13,#4
22 octobre 2017 Saison régulière,Milwaukee Bucks,113,110,Portland Trail Blazers,#5,#1
22 octobre 2017 Saison régulière,Denver Nuggets,96,79,Sacramento Kings,#15,#5
22 octobre 2017 Saison régulière,Utah Jazz,96,87,Oklahoma City Thunder,#5,#8
22 octobre 2017 Saison régulière,LA Clippers,130,88,Phoenix Suns,#8,#8
12 novembre 2017 Saison régulière,Boston Celtics,95,94,Toronto Raptors,#1,#4
12 novembre 2017 Saison régulière,Detroit Pistons,112,103,Miami Heat,#2,#8
24 octobre 2017 Saison régulière,San Antonio Spurs,101,97,Toronto Raptors,#6,#6
24 octobre 2017 Saison régulière,Denver Nuggets,104,109,Washington Wizards,#13,#6
24 octobre 2017 Saison régulière,Phoenix Suns,117,115,Sacramento Kings,#13,#6
24 octobre 2017 Saison régulière,Cleveland Cavaliers,119,112,Chicago Bulls,#1,#14
13 novembre 2017 Saison régulière,Indiana Pacers,95,118,Houston Rockets,#9,#1
22 octobre 2017 Saison régulière,Brooklyn Nets,116,104,Atlanta Hawks,#5,#4
13 novembre 2017 Saison régulière,Oklahoma City Thunder,112,99,Dallas Mavericks,#10,#15
21 octobre 2017 Saison régulière,Indiana Pacers,96,114,Portland Trail Blazers,#5,#5
21 octobre 2017 Saison régulière,Milwaukee Bucks,97,116,Cleveland Cavaliers,#5,#1
21 octobre 2017 Saison régulière,Philadelphia 76ers,92,102,Boston Celtics,#10,#1
21 octobre 2017 Saison régulière,Washington Wizards,115,111,Detroit Pistons,#5,#1
21 octobre 2017 Saison régulière,Charlotte Hornets,109,91,Atlanta Hawks,#10,#1
21 octobre 2017 Saison régulière,Brooklyn Nets,126,121,Orlando Magic,#10,#5
21 octobre 2017 Saison régulière,Minnesota Timberwolves,100,97,Utah Jazz,#8,#5
21 octobre 2017 Saison régulière,Dallas Mavericks,88,93,Sacramento Kings,#8,#8
21 octobre 2017 Saison régulière,New Orleans Pelicans,120,128,Golden State Warriors,#8,#8
21 octobre 2017 Saison régulière,Phoenix Suns,130,132,LA Lakers,#8,#8
20 octobre 2017 Saison régulière,Toronto Raptors,117,100,Chicago Bulls,#13,#13
20 octobre 2017 Saison régulière,Oklahoma City Thunder,105,84,New York Knicks,#13,#13
20 octobre 2017 Saison régulière,LA Lakers,92,108,LA Clippers,#13,#13
11 avril 2018 Saison régulière,Indiana Pacers,,,Charlotte Hornets,,
11 avril 2018 Saison régulière,Atlanta Hawks,,,Philadelphia 76ers,,
11 avril 2018 Saison régulière,Washington Wizards,,,Boston Celtics,,
11 avril 2018 Saison régulière,Dallas Mavericks,,,Phoenix Suns,,
11 avril 2018 Saison régulière,Utah Jazz,,,Golden State Warriors,,
11 avril 2018 Saison régulière,LA Lakers,,,Houston Rockets,,
19 octobre 2017 Saison régulière,Detroit Pistons,102,90,Charlotte Hornets,#5,#5
