id,title_fa,title_en,link,logo_link,decorated_grade,location,rank,is_recommended_percent,decorated_score,reviews_count
2310,هتل استانبول ماریوت شیشلی,Istanbul Marriott Sisli hotel,https://lastsecond.ir/hotels/2310-istanbul-marriott-sisli,http://cdn.last.upload.ir/2017/07/03/7jOmZB0SoB98HOcrg8tUQT4sGqRuLVDmEZzey4CO.jpeg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",18,100,"<div class=""hotelScore""><div class=""score"" style=""width: 94%""></div></div>",1
3519,هتل نورت اونیو,North Avenue hotel,https://lastsecond.ir/hotels/3519-north-avenue,http://cdn.last.upload.ir/v1/hotels/57998269.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 642, 'slug': 'yerevan', 'title_fa': 'ایروان', 'parent_title': 'ارمنستان', 'parent': {'id': 641, 'slug': 'armenia', 'title_fa': 'ارمنستان'}, 'hotels_count': 64}",1,100,"<div class=""hotelScore""><div class=""score"" style=""width: 100%""></div></div>",1
786,هتل هالیدی پارک,Holiday Park hotel,https://lastsecond.ir/hotels/786-holiday-park,http://cdn.last.upload.ir/v1/hotels/1554724.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 652, 'slug': 'varna', 'title_fa': 'وارنا', 'parent_title': 'بلغارستان', 'parent': {'id': 651, 'slug': 'bulgaria', 'title_fa': 'بلغارستان'}, 'hotels_count': 48}",10,67,"<div class=""hotelScore""><div class=""score"" style=""width: 68%""></div></div>",3
1105,هتل دیاموند هاوس ایروان,Diamond House Yerevan hotel,https://lastsecond.ir/hotels/1105-diamond-house-yerevan,http://cdn.last.upload.ir/v1/hotels/49017123.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 642, 'slug': 'yerevan', 'title_fa': 'ایروان', 'parent_title': 'ارمنستان', 'parent': {'id': 641, 'slug': 'armenia', 'title_fa': 'ارمنستان'}, 'hotels_count': 64}",11,100,"<div class=""hotelScore""><div class=""score"" style=""width: 80%""></div></div>",1
735,هتل آیکون,Icon Istanbul hotel,https://lastsecond.ir/hotels/735-icon-istanbul,http://cdn.last.upload.ir/v1/hotels/3089575.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",126,50,"<div class=""hotelScore""><div class=""score"" style=""width: 56%""></div></div>",2
1321,هتل متروپولیتن تکسیم,Metropolitan Taksim hotel,https://lastsecond.ir/hotels/1321-metropolitan-taksim,http://cdn.last.upload.ir/v1/hotels/44765526.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""چهار ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 456, 'slug': 'istanbul', 'title_fa': 'استانبول', 'parent_title': 'ترکیه', 'parent': {'id': 442, 'slug': 'turkey', 'title_fa': 'ترکیه'}, 'hotels_count': 308}",91,75,"<div class=""hotelScore""><div class=""score"" style=""width: 70%""></div></div>",4
836,هتل کارمیر ریزورت,Karmir Resort hotel,https://lastsecond.ir/hotels/836-karmir-resort,http://cdn.last.upload.ir/v1/hotels/33486446.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 446, 'slug': 'kemer', 'title_fa': 'کمر', 'parent_title': 'آنتالیا', 'parent': {'id': 443, 'slug': 'antalya', 'title_fa': 'آنتالیا'}, 'hotels_count': 88}",7,75,"<div class=""hotelScore""><div class=""score"" style=""width: 92%""></div></div>",4
187,هتل پورتوبلو,Portobello hotel,https://lastsecond.ir/hotels/187-portobello,http://cdn.last.upload.ir/v1/hotels/4290112.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 444, 'slug': 'antalya-city', 'title_fa': 'شهر آنتالیا', 'parent_title': 'آنتالیا', 'parent': {'id': 443, 'slug': 'antalya', 'title_fa': 'آنتالیا'}, 'hotels_count': 26}",7,80,"<div class=""hotelScore""><div class=""score"" style=""width: 80%""></div></div>",5
2605,هتل ویند آف لارا,Wind of Lara hotel,https://lastsecond.ir/hotels/2605-wind-of-lara,http://cdn.last.upload.ir/v1/hotels/75803520.jpg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""پنج ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i></div>","{'id': 445, 'slug': 'lara', 'title_fa': 'لارا', 'parent_title': 'آنتالیا', 'parent': {'id': 443, 'slug': 'antalya', 'title_fa': 'آنتالیا'}, 'hotels_count': 54}",22,100,"<div class=""hotelScore""><div class=""score"" style=""width: 82%""></div></div>",3
1793,هتل کسکاده,Cascade hotel,https://lastsecond.ir/hotels/1793-cascade,https://lastsecond.ir/site/images/placeholder/hotel.svg,"<div class=""d-inline-block ltr hotelGrade"" data-toggle=""tooltip"" data-placement=""left"" title=""سه ستاره""><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star orange-text""></i><i class=""fa fa-star-o orange-text""></i><i class=""fa fa-star-o orange-text""></i></div>","{'id': 642, 'slug': 'yerevan', 'title_fa': 'ایروان', 'parent_title': 'ارمنستان', 'parent': {'id': 641, 'slug': 'armenia', 'title_fa': 'ارمنستان'}, 'hotels_count': 64}",18,0,"<div class=""hotelScore""><div class=""score"" style=""width: 54%""></div></div>",1
