search_item,rare,name,promoter_name,district,project_type,url
Hathras,UPRERAPRJ11211,UTKARASHT LOTUS GREENS,DREAM TOWN DEVELOPERS PRIVATE LIMITED,Hathras,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Hathras,UPRERAPRJ12331,VASUNDHARA ESTATE,Vasundhara Real Estate,Hathras,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Jaunpur,UPRERAPRJ10262,Sai NIWAS,VCJ GLOBAL BUILDERS PVT.LTD,Jaunpur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Jhansi,UPRERAPRJ12126,ADJ HOMES PVT LTD,ADJ HOMES PVT LTD,Jhansi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Jhansi,UPRERAPRJ12412,ADJ HOMES PVT LTD,ADJ HOMES PVT LTD,Jhansi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Jhansi,UPRERAPRJ3654,ANSAL BASERA CITY,Basera Builders AOP,Jhansi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Jhansi,UPRERAPRJ5680,ANSALS PALM COURT JHANSI G+2,Ansal Housing & Construction Ltd,Jhansi,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kanpur Dehat,UPRERAPRJ13707,PLOTING VISION PHASE I PART A,VACL INDIA REAL ESTATE LIMITED,Kanpur Dehat,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kanpur Nagar,UPRERAPRJ4919,2256 Sulabh Avas Type-3 (Shivalik & Satpura) At Shatabdi Nagar Phase-4 ,Kanpur Development Authority,Kanpur Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kanpur Nagar,UPRERAPRJ9530,274 FLATS GANGA ENCLAVE,U.P. Awas Evam Vikas Parishad,Kanpur Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kanpur Nagar,UPRERAPRJ4888,352 & 256 (Yamuna-Type-3) 512 (Mandakini Type-3) 192 (Sarswati     Type-2) 368 (Ganga Type-2) in Jawaharpuram Vistar Part-1 and Panki GanagaGanj Phase-1,Kanpur Development Authority,Kanpur Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kanpur Nagar,UPRERAPRJ4955,360 MIG (G+4) at Jawaharpuram Sector-6,Kanpur Development Authority,Kanpur Nagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Kushinagar,UPRERAPRJ10794,P D CITY MALL,QUALITY DEVELOPERS,Kushinagar,Commercial,http://uprera.azurewebsites.net/View_projects.aspx
Lucknow,UPRERAPRJ14681, Pratham,Agrani Homes Pvt Ltd,Lucknow,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Lucknow,UPRERAPRJ10996, WOODLAND MOHANLALGANJ,Rudraksh Developers private limited,Lucknow,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Lucknow,UPRERAPRJ6779,AADRA APARTMENT,Lucknow Development Authority,Lucknow,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Lucknow,UPRERAPRJ4179,Aadyant Phase 5 (Revati B),Paarth Infrabuild Private Limited,Lucknow,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Mathura,UPRERAPRJ11245,"1BHK (4 story) Houses, Rukmani Vihar Awasiya Yojan",Mathura-Vrindavan Development Authority,Mathura,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Mathura,UPRERAPRJ10823,"2BHK flats in Rukmani Vihar Awasiya Yojana, Vrinda",Mathura-Vrindavan Development Authority,Mathura,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Mathura,UPRERAPRJ11686,AARNA VATIKA,SHAH APPARTMENT AND DEVELOPERS PVT LTD,Mathura,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Mathura,UPRERAPRJ12300,AASTHA INFRAPROJECTS,AASTHA INFRAPROJECTS,Mathura,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Meerut,UPRERAPRJ11077,"""Ornate""",NEEDHISHREE BUILDCON PVT LTD,Meerut,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Meerut,UPRERAPRJ5730,Aastha Affordable Group Housing at Khasra 31 & 32,Ansal Landmark Townships Pvt. Ltd.,Meerut,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Meerut,UPRERAPRJ10442,ABDULLAH SHOPPING PLAZA,A I M INFRA HOMES LLP,Meerut,Commercial,http://uprera.azurewebsites.net/View_projects.aspx
Meerut,UPRERAPRJ8659,AFFORDABLE HOUSING SCHEME IN LOHIA NAGAR,Meerut Development Authority,Meerut,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Moradabad,UPRERAPRJ13004,112 EWS HOUSES AT SECTOR-15A NEW MORADABAD,Moradabad Development Authority,Moradabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Moradabad,UPRERAPRJ13005,176 LIG HOUSES AT SECTOR-15A NEW MORADABAD,Moradabad Development Authority,Moradabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Moradabad,UPRERAPRJ9476,"2BHK (S+4) TYPE FLAT SECTOR-9A, MAJHOLA YOJNA-4, P",U.P. Awas Evam Vikas Parishad,Moradabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Moradabad,UPRERAPRJ13001,32 MMIG HOUSES AT SECTOR-15A NEW MORADABAD,Moradabad Development Authority,Moradabad,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Muzaffarnagar,UPRERAPRJ7137,DWARIKA CITY PHASE I ,DWARIKA BALAJI,Muzaffarnagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Muzaffarnagar,UPRERAPRJ11325,DWARIKA CITY PHASE-II ONGOING,DWARIKA BALAJI,Muzaffarnagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Muzaffarnagar,UPRERAPRJ11319,DWARIKA CITY PHASE-III,DWARIKA BALAJI,Muzaffarnagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Muzaffarnagar,UPRERAPRJ11320,DWARIKA CITY PHASE-IV,DWARIKA BALAJI,Muzaffarnagar,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Pratapgarh,UPRERAPRJ14040,Rohit Tower,SMART INDIA INFRASTRUCTURES,Pratapgarh,Commercial,http://uprera.azurewebsites.net/View_projects.aspx
Rampur,UPRERAPRJ10497,BALWANT ENCLAVE,PEGASUS TOWNSHIPS LIMITED,Rampur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
Rampur,UPRERAPRJ11489,SAVERA,PEGASUS TOWNSHIPS LIMITED,Rampur,Residential,http://uprera.azurewebsites.net/View_projects.aspx
